president,position,appointee,start_date,end_date,length,departure_day,gender,,
Carter,OMB Director,Bert Lance,1/21/77,9/23/77,245,247,Male,,
Carter,Secretary of Transportation,Brock Adams,1/23/77,7/20/79,908,912,Male,,
Carter,"Secretary of Health, Education & Welfare",Joseph Califano Jr.,1/25/77,8/3/79,920,926,Male,,
Carter,Secretary of Housing & Urban Development,Patricia Harris,1/23/77,8/3/79,922,926,Female,,
Carter,Secretary of the Treasury,W. Michael Blumenthal,1/23/77,8/4/79,923,927,Male,,
Carter,Attorney General,Griffin Bell,1/26/77,8/16/79,932,939,Male,,
Carter,U.S. Trade Representative,Robert Strauss,3/30/77,8/17/79,870,940,Male,,
Carter,Secretary of Energy,James Schlesinger,8/6/77,8/23/79,747,946,Male,,
Carter,UN Ambassador,Andrew Young,1/30/77,9/23/79,966,977,Male,,
Carter,Secretary of Commerce,Juanita Kreps,1/23/77,10/31/79,1011,1015,Female,,
Carter,Secretary of State,Cyrus Vance,1/23/77,4/28/80,1191,1195,Male,,
Carter,Chief of Staff,Hamilton Jordan,7/18/79,6/11/80,329,1239,Male,,
Carter,U.S. Trade Representative,Reubin Askew,10/1/79,12/31/80,457,1442,Male,,
Carter,Secretary of State,Ed Muskie,5/8/80,1/18/81,255,1460,Male,,
Carter,Attorney General,Ben Civiletti,8/16/79,1/19/81,522,1461,Male,,
Carter,Secretary of Commerce,Philip Klutznick,1/9/80,1/19/81,376,1461,Male,,
Carter,CEA Chair,Charles Schultze,1/22/77,1/20/81,1459,1462,Male,,
Carter,Chief of Staff,Jack Watson,6/11/80,1/20/81,223,1462,Male,,
Carter,Director of Central Intelligence,Stansfield Turner,3/9/77,1/20/81,1413,1462,Male,,
Carter,EPA Administrator,Douglas Costle,3/7/77,1/20/81,1415,1462,Male,,
Carter,OMB Director,Jim McIntyre,9/24/77,1/20/81,1214,1462,Male,,
Carter,SBA Administrator,A. Vernon Weaver,4/1/77,1/20/81,1390,1462,Male,,
Carter,Secretary of Agriculture,Robert Bergland,1/23/77,1/20/81,1458,1462,Male,,
Carter,Secretary of Defense,Harold Brown,1/21/77,1/20/81,1460,1462,Male,,
Carter,Secretary of Education,Shirley Hufstedler,12/6/79,1/20/81,411,1462,Female,,
Carter,Secretary of Energy,Charles Duncan,8/24/79,1/20/81,515,1462,Male,,
Carter,"Secretary of Health, Education & Welfare/Secretary of Health & Human Services",Patricia Harris,8/3/79,1/20/81,536,1462,Female,,
Carter,Secretary of Housing & Urban Development,Moon Landrieu,9/24/79,1/20/81,484,1462,Male,,
Carter,Secretary of Labor,Ray Marshall,1/27/77,1/20/81,1454,1462,Male,,
Carter,Secretary of the Interior,Cecil Andrus,1/23/77,1/20/81,1458,1462,Male,,
Carter,Secretary of the Treasury,G. William Miller,8/6/79,1/20/81,533,1462,Male,,
Carter,Secretary of Transportation,Neil Goldschmidt,8/15/79,1/20/81,524,1462,Male,,
Carter,UN Ambassador,Donald McHenry,9/23/79,1/20/81,485,1462,Male,,
Carter,Vice President,Walter Mondale,1/20/77,1/20/81,1461,1462,Male,,
Carter,OSTP Director,Frank Press,6/1/77,1/20/81,1329,1462,Male,,
Reagan,SBA Administrator,Michael Cardenas,3/30/81,2/3/82,310,380,Male,,
Reagan,Secretary of State,Alexander Haig,1/22/81,7/5/82,529,532,Male,,
Reagan,CEA Chair,Murray Weidenbaum,2/27/81,8/25/82,544,583,Male,,
Reagan,Secretary of Energy,James Edwards,1/23/81,11/5/82,651,655,Male,,
Reagan,Secretary of Transportation,Drew Lewis,1/23/81,2/1/83,739,743,Male,,
