poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,methodology,partisan,polldate,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand2_name,cand2_id,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,advancedplusminus,comment
26013,87909,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Blum & Weprin Associates,32,Live Phone,,10/13/1998,364,Peter Vallone,13080,DEM,26,George Pataki,13083,REP,57,9,-31,11/3/1998,33.16,54.32,-21.15,9.85,-9.85,1,1.46115292690829,for New York Daily News | WABC-TV (New York)
26255,87926,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,University of Cincinnati (Ohio Poll),346,Live Phone,,10/13/1998,540,Lee Fisher,13085,DEM,37,Bob Taft,13086,REP,52,,-15,11/3/1998,44.69,50.05,-5.36,9.64,-9.64,1,4.284086344615355,
26026,31266,1736,1998,1998_Sen-G_NV,NV,Sen-G,Sen-G,FM3 Research,91,Live Phone,D,10/13/1998,488,Harry Reid,3964,DEM,49,John Ensign,3965,REP,44,,5,11/3/1998,47.86,47.77,.09,4.91,4.91,1,-1.024758272983073,for unspecified Democratic sponsor
26013,31253,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,Live Phone,,10/13/1998,364,Charles E. Schumer,3966,DEM,44,Alfonse M. D'Amato,3967,REP,52,,-8,11/3/1998,54.62,44.08,10.54,18.54,-18.54,0,10.06330938323671,for New York Daily News | WABC-TV (New York)
63632,117103,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/1998,902,Charles E. Schumer,3966,DEM,46,Alfonse M. D'Amato,3967,REP,42,,4,11/3/1998,54.62,44.08,10.54,6.54,-6.54,1,-1.971475536013125,for Charles E. Schumer
26255,31495,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,Live Phone,,10/13/1998,540,Mary Boyle,3969,DEM,34,George V. Voinovich,3968,REP,62,,-28,11/3/1998,43.53,56.46,-12.93,15.07,-15.07,1,7.800660419059055,
64053,117875,1966,1998,1998_House-G_ID-1,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/1998,372,Dan Williams,13924,DEM,44,Helen Chenoweth,13925,REP,42,,2,11/3/1998,44.73,55.27,-10.53,12.53,12.53,0,4.735692224911388,for Richard Stallings
64053,117876,1967,1998,1998_House-G_ID-2,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/1998,400,Richard Stallings,13926,DEM,42,Mike Simpson,13927,REP,36,,6,11/3/1998,44.69,52.51,-7.82,13.82,13.82,0,6.110819045501713,for Richard Stallings
28268,33546,8661,1998,1998_House-G_US,US,House-G,House-G,CBS News/The New York Times,36,Live Phone,,10/13/1998,600,Generic Candidate,13752,DEM,48,Generic Candidate,13753,REP,46,,2,11/3/1998,47.13,48.02,-.89,2.89,2.89,0,-2.723903121285724,sample size unavailable; estimated at 600 as a default
28267,33545,8661,1998,1998_House-G_US,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/13/1998,864,Generic Candidate,13752,DEM,39,Generic Candidate,13753,REP,36,,3,11/3/1998,47.13,48.02,-.89,3.89,3.89,0,-1.2669086017136,
54202,87738,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Behavior Research Center (Rocky Mountain Poll),27,Live Phone,,10/14/1998,519,Paul Johnson,13009,DEM,31,Jane Hull,13012,REP,53,,-22,11/3/1998,35.53,60.95,-25.42,3.42,3.42,1,-3.33144247612868,
54291,87827,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,WCIA-TV,373,Live Phone,,10/14/1998,401,Glenn Poshard,13043,DEM,32,George Ryan,13044,REP,58,,-26,11/3/1998,47.46,51.03,-3.57,22.43,-22.43,1,13.03192965977664,
54273,87809,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,"Drake Research & Strategy, Inc.",329,Live Phone,D,10/14/1998,408,Tom Vilsack,13039,DEM,40,Jim Lightfoot,13036,REP,48,,-8,11/3/1998,52.3,46.51,5.8,13.8,-13.8,0,5.070590246608582,for Tom Vilsack
54346,87882,1451,1998,1998_Gov-G_NE,NE,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/14/1998,828,Bill Hoppner,13067,DEM,34,Mike Johanns,13066,REP,54,,-20,11/3/1998,45.98,53.9,-7.93,12.07,-12.07,1,5.310040448380298,
26233,87975,1466,1998,1998_Gov-G_WI,WI,Gov-G,Gov-G,St. Norbert College,313,Live Phone,,10/14/1998,415,Ed Garvey,13127,DEM,28,Tommy Thompson,13128,REP,63,,-35,11/3/1998,38.7,59.66,-20.97,14.03,-14.03,1,4.677654660043244,
54202,119959,1719,1998,1998_Sen-G_AZ,AZ,Sen-G,Sen-G,Behavior Research Center (Rocky Mountain Poll),27,Live Phone,,10/14/1998,519,Edward Ranger,13708,DEM,18,John McCain,13709,REP,60,,-42,11/3/1998,27.16,68.74,-41.58,.42,-.42,1,-5.930822612977864,
54291,117514,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,WCIA-TV,373,Live Phone,,10/14/1998,401,Carol Moseley-Braun,3943,DEM,37,Peter G. Fitzgerald,3944,REP,54,,-17,11/3/1998,47.44,50.35,-2.9,14.1,-14.1,1,5.189683790234907,
26233,31473,1750,1998,1998_Sen-G_WI,WI,Sen-G,Sen-G,St. Norbert College,313,Live Phone,,10/14/1998,415,Russ Feingold,3986,DEM,47,Mark W. Neumann,3987,REP,40,,7,11/3/1998,50.55,48.4,2.15,4.85,4.85,1,.3655440498679029,
64150,118025,2078,1998,1998_House-G_MT-1,MT-1,House-G,House-G,Moore Information,217,Live Phone,R,10/14/1998,400,Dusty Deschamps,14012,DEM,36,Richard A. Hill,14013,REP,51,,-15,11/3/1998,44.36,53.01,-8.65,6.35,-6.35,1,-.421823261001836,for Richard A. Hill
26285,87910,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/15/1998,706,Peter Vallone,13080,DEM,21,George Pataki,13083,REP,53,7,-32,11/3/1998,33.16,54.32,-21.15,10.85,-10.85,1,3.028463627043346,
26262,87974,1466,1998,1998_Gov-G_WI,WI,Gov-G,Gov-G,University of Wisconsin-Milwaukee,366,Live Phone,,10/15/1998,269,Ed Garvey,13127,DEM,35,Tommy Thompson,13128,REP,59,,-24,11/3/1998,38.7,59.66,-20.97,3.03,-3.03,1,-8.078661008017562,
26249,31489,1725,1998,1998_Sen-G_GA,GA,Sen-G,Sen-G,University of Georgia,350,Live Phone,,10/15/1998,500,Michael J. Coles,3935,DEM,29,Paul Coverdell,3934,REP,46,,-17,11/3/1998,45.15,52.37,-7.22,9.78,-9.78,1,2.450556517390483,
26285,31525,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/15/1998,706,Charles E. Schumer,3966,DEM,37,Alfonse M. D'Amato,3967,REP,42,,-5,11/3/1998,54.62,44.08,10.54,15.54,-15.54,0,7.585278805346057,
26262,31502,1750,1998,1998_Sen-G_WI,WI,Sen-G,Sen-G,University of Wisconsin-Milwaukee,366,Live Phone,,10/15/1998,286,Russ Feingold,3986,DEM,46,Mark W. Neumann,3987,REP,44,,2,11/3/1998,50.55,48.4,2.15,.15,-.15,1,-4.717280126639949,
64394,118462,2140,1998,1998_House-G_NC-8,NC-8,House-G,House-G,Wirthlin Worldwide,387,Live Phone,R,10/15/1998,505,Mike Taylor,14449,DEM,39,Robert C. Hayes,14450,REP,51,,-12,11/3/1998,48.17,50.71,-2.54,9.46,-9.46,1,1.86825231390188,for Robert C. Hayes
28266,117593,8661,1998,1998_House-G_US,US,House-G,House-G,Yankelovich Partners Inc.,390,Live Phone,,10/15/1998,442,Generic Candidate,13752,DEM,47,Generic Candidate,13753,REP,47,,0,11/3/1998,47.13,48.02,-.89,.89,.89,.5,-4.830081061742992,for CNN | Time
54224,87760,1437,1998,1998_Gov-G_CO,CO,Gov-G,Gov-G,Public Opinion Strategies,260,Live Phone,,10/16/1998,500,Gail Schoettler,13022,DEM,39,William F. Owens,13021,REP,43,,-4,11/3/1998,48.42,49.04,-.62,3.38,-3.38,1,-2.223957405316814,
26208,87770,1438,1998,1998_Gov-G_CT,CT,Gov-G,Gov-G,Quinnipiac University,267,Live Phone,,10/16/1998,683,Barbara Kennelly,13024,DEM,24,John Rowland,13027,REP,72,,-48,11/3/1998,35.44,62.9,-27.46,20.54,-20.54,1,13.29972156900195,among registered voters
26147,87858,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/16/1998,828,Parris Glendening,13054,DEM,46,Ellen Sauerbrey,13053,REP,44,,2,11/3/1998,55.14,44.82,10.33,8.33,-8.33,1,-.2950603517425007,
26208,31448,1723,1998,1998_Sen-G_CT,CT,Sen-G,Sen-G,Quinnipiac University,267,Live Phone,,10/16/1998,1247,Christopher J. Dodd,3930,DEM,61,Gary A. Franks,3931,REP,29,,32,11/3/1998,65.15,32.37,32.78,.78,-.78,1,-5.392911181575617,among registered voters
26250,31490,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,University of Illinois at Chicago,352,Live Phone,,10/16/1998,597,Carol Moseley-Braun,3943,DEM,31,Peter G. Fitzgerald,3944,REP,48,,-17,11/3/1998,47.44,50.35,-2.9,14.1,-14.1,1,5.883806844169256,
26147,31387,1734,1998,1998_Sen-G_MD,MD,Sen-G,Sen-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/16/1998,821,Barbara A. Mikulski,3954,DEM,67,Ross Z. Pierpont,3955,REP,26,,41,11/3/1998,70.5,29.5,41.01,.01,-.01,1,-5.014694401318527,
28265,33543,8661,1998,1998_House-G_US,US,House-G,House-G,Hill Research Consultants,140,Live Phone,,10/16/1998,600,Generic Candidate,13752,DEM,41,Generic Candidate,13753,REP,38,,3,11/3/1998,47.13,48.02,-.89,3.89,3.89,0,-1.247882784072959,
28264,117577,8661,1998,1998_House-G_US,US,House-G,House-G,Pew Research Center,253,Live Phone,,10/16/1998,743,Generic Candidate,13752,DEM,43,Generic Candidate,13753,REP,48,,-5,11/3/1998,47.13,48.02,-.89,4.11,-4.11,1,-.8555474941838178,
54213,87749,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Field Research Corp. (Field Poll),94,Live Phone,,10/17/1998,809,"Joseph 'Gray' Davis, Jr.",13015,DEM,50,Dan Lungren,13016,REP,43,,7,11/3/1998,57.97,38.38,19.59,12.59,-12.59,1,4.899345389955022,
54246,87782,1439,1998,1998_Gov-G_FL,FL,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/17/1998,822,Buddy MacKay,13029,DEM,41,Jeb Bush,13028,REP,51,,-10,11/3/1998,44.72,55.27,-10.55,.55,.55,1,-3.051219012277569,
54342,87878,1450,1998,1998_Gov-G_MN,MN,Gov-G,Gov-G,Star Tribune (Minnesota Poll),315,Live Phone,,10/17/1998,1007,Jesse Ventura,13065,REF,21,Norm Coleman,13062,REP,34,35,-13,11/3/1998,37,34.29,2.7,15.7,,0,8.698158794916822,
54354,87890,1453,1998,1998_Gov-G_NH,NH,Gov-G,Gov-G,Becker Institute,26,Live Phone,,10/17/1998,355,Jeanne Shaheen,13069,DEM,67,Jay Lucas,13068,REP,22,,45,11/3/1998,66.08,30.88,35.21,9.79,9.79,1,1.989353905381868,
26113,31353,1724,1998,1998_Sen-G_FL,FL,Sen-G,Sen-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/17/1998,836,Bob Graham,3932,DEM,58,Charlie Crist,3933,REP,32,,26,11/3/1998,62.47,37.53,24.94,1.06,1.06,1,-5.527788601151682,
64109,117952,1910,1998,1998_House-G_CA-46,CA-46,House-G,House-G,Los Angeles Times,172,Live Phone,,10/17/1998,1000,Loretta Sanchez,13989,DEM,48,Robert K. Dornan,13990,REP,34,,14,11/3/1998,56.43,39.28,17.15,3.15,-3.15,1,-4.139938114052515,
64137,118009,1997,1998,1998_House-G_IN-10,IN-10,House-G,House-G,Massie & Associates,199,Live Phone,R,10/17/1998,300,Julia M. Carson,14069,DEM,37,Gary Anthony Hofmeister,14071,REP,38,,-1,11/3/1998,58.34,39.37,18.98,19.98,-19.98,0,12.27119555305652,for Gary Anthony Hofmeister
36811,33541,8661,1998,1998_House-G_US,US,House-G,House-G,ABC News/The Washington Post,3,Live Phone,,10/17/1998,548,Generic Candidate,13752,DEM,48,Generic Candidate,13753,REP,47,,1,11/3/1998,47.13,48.02,-.89,1.89,1.89,0,-3.242992493419433,for The Washington Post
54265,87801,1441,1998,1998_Gov-G_HI,HI,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/18/1998,406,Benjamin Cayetano,13033,DEM,37,Linda Lingle,13035,REP,52,,-15,11/3/1998,50.11,48.82,1.29,16.29,-16.29,0,8.686362601475185,
54358,87894,1454,1998,1998_Gov-G_NM,NM,Gov-G,Gov-G,Research & Polling Inc.,280,Live Phone,,10/18/1998,916,Martin Chavez,13072,DEM,39,Gary Johnson,13071,REP,49,,-10,11/3/1998,45.47,54.53,-9.06,.94,-.94,1,-5.134140236261329,
26050,87927,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,Gordon S. Black Corp.,123,Live Phone,,10/18/1998,1012,Lee Fisher,13085,DEM,28,Bob Taft,13086,REP,36,,-8,11/3/1998,44.69,50.05,-5.36,2.64,-2.64,1,-3.197118136149383,
54412,87948,1460,1998,1998_Gov-G_RI,RI,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/18/1998,400,Myrth York,13104,DEM,45,Lincoln Almond,13105,REP,47,,-2,11/3/1998,42.13,50.97,-8.84,6.84,6.84,1,-.0860552164786281,
26243,31483,1732,1998,1998_Sen-G_KY,KY,Sen-G,Sen-G,TMR Research,328,Live Phone,,10/18/1998,800,Scotty Baesler,3951,DEM,44,Jim Bunning,3950,REP,39,,5,11/3/1998,49.16,49.75,-.59,5.59,5.59,0,.3716122618969714,
26050,31290,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,Gordon S. Black Corp.,123,Live Phone,,10/18/1998,1012,Mary Boyle,3969,DEM,28,George V. Voinovich,3968,REP,51,,-23,11/3/1998,43.53,56.46,-12.93,10.07,-10.07,1,1.965823354963356,
26244,31484,1742,1998,1998_Sen-G_OK,OK,Sen-G,Sen-G,Tulsa Surveys,341,Live Phone,,10/18/1998,750,Don Carroll,3971,DEM,16,Don Nickles,3970,REP,63,,-47,11/3/1998,31.28,66.38,-35.1,11.9,-11.9,1,4.369037667233472,among all adults
54265,117965,1964,1998,1998_House-G_HI-1,HI-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/18/1998,221,Neil Abercrombie,14010,DEM,50,Gene Ward,14011,REP,36,,14,11/3/1998,61.56,36.35,25.21,11.21,-11.21,1,3.197349095522064,
26243,118432,2012,1998,1998_House-G_KY-6,KY-6,House-G,House-G,TMR Research,328,Live Phone,,10/18/1998,700,Ernesto Scorsone,14438,DEM,44,Ernie Fletcher,14439,REP,41,,3,11/3/1998,45.95,53.11,-7.15,10.15,10.15,0,2.797029416171198,
64392,118460,2145,1998,1998_House-G_ND-1,ND-1,House-G,House-G,WPA Intelligence (WPAi),383,Live Phone,R,10/18/1998,300,Earl Pomeroy,14447,DEM,49,Kevin Cramer,14448,REP,40,,9,11/3/1998,56.21,41.11,15.11,6.11,-6.11,1,-1.67097332592849,for unspecified Republican sponsor
64108,117951,2260,1998,1998_House-G_WA-1,WA-1,House-G,House-G,"Lauer, Lalley, Victoria",168,Live Phone,D,10/18/1998,368,Jay Robert Inslee,13986,DEM,43,Richard Alan White,13987,REP,39,5,4,11/3/1998,49.77,44.12,5.66,1.66,-1.66,1,-4.42556021484891,for unspecified Democratic sponsor
26068,87750,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Los Angeles Times,172,Live Phone,,10/19/1998,883,"Joseph 'Gray' Davis, Jr.",13015,DEM,53,Dan Lungren,13016,REP,42,,11,11/3/1998,57.97,38.38,19.59,8.59,-8.59,1,.6337695881890234,
26083,87828,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,Market Shares Corp.,187,Live Phone,,10/19/1998,1099,Glenn Poshard,13043,DEM,34,George Ryan,13044,REP,49,,-15,11/3/1998,47.46,51.03,-3.57,11.43,-11.43,1,2.599761146088971,
54305,87841,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/19/1998,625,Scott Harshbarger,13052,DEM,41,A. Paul Cellucci,13051,REP,46,,-5,11/3/1998,47.38,50.81,-3.43,1.57,-1.57,1,-4.373198005458129,
26068,31308,1721,1998,1998_Sen-G_CA,CA,Sen-G,Sen-G,Los Angeles Times,172,Live Phone,,10/19/1998,883,Barbara Boxer,3926,DEM,49,Matt Fong,3927,REP,44,,5,11/3/1998,53.06,43.01,10.05,5.05,-5.05,1,-.9459057178750609,
26083,31323,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Market Shares Corp.,187,Live Phone,,10/19/1998,1099,Carol Moseley-Braun,3943,DEM,38,Peter G. Fitzgerald,3944,REP,48,,-10,11/3/1998,47.44,50.35,-2.9,7.1,-7.1,1,-.8665197307326041,
28262,33540,8661,1998,1998_House-G_US,US,House-G,House-G,Wirthlin Worldwide,387,Live Phone,,10/19/1998,416,Generic Candidate,13752,DEM,41,Generic Candidate,13753,REP,45,,-4,11/3/1998,47.13,48.02,-.89,3.11,-3.11,1,-2.126240938980035,
54203,87739,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,732,Paul Johnson,13009,DEM,35,Jane Hull,13012,REP,55,,-20,11/3/1998,35.53,60.95,-25.42,5.42,5.42,1,-.1688312691776672,
54215,87751,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,4531,"Joseph 'Gray' Davis, Jr.",13015,DEM,50,Dan Lungren,13016,REP,39,,11,11/3/1998,57.97,38.38,19.59,8.59,-8.59,1,.8219880727631037,
54225,87761,1437,1998,1998_Gov-G_CO,CO,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,614,Gail Schoettler,13022,DEM,46,William F. Owens,13021,REP,43,,3,11/3/1998,48.42,49.04,-.62,3.62,3.62,0,-1.766677511188407,
54247,87783,1439,1998,1998_Gov-G_FL,FL,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,2295,Buddy MacKay,13029,DEM,40,Jeb Bush,13028,REP,56,,-16,11/3/1998,44.72,55.27,-10.55,5.45,-5.45,1,3.065397928582389,
54259,87795,1440,1998,1998_Gov-G_GA,GA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1174,Roy Barnes,13031,DEM,42,Guy Millner,13032,REP,47,,-5,11/3/1998,52.49,44.08,8.42,13.42,-13.42,0,5.631196197717432,
54293,87829,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1209,Glenn Poshard,13043,DEM,37,George Ryan,13044,REP,55,,-18,11/3/1998,47.46,51.03,-3.57,14.43,-14.43,1,5.963702756265129,
54294,87830,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/20/1998,400,Glenn Poshard,13043,DEM,42,George Ryan,13044,REP,44,,-2,11/3/1998,47.46,51.03,-3.57,1.57,1.57,1,-8.666699971945247,for Chicago Sun-Times
54274,87810,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,"Drake Research & Strategy, Inc.",329,Live Phone,D,10/20/1998,408,Tom Vilsack,13039,DEM,44,Jim Lightfoot,13036,REP,46,,-2,11/3/1998,52.3,46.51,5.8,7.8,-7.8,0,-.6936126496875764,for Tom Vilsack
54323,87859,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,ABC News/The Washington Post,3,Live Phone,,10/20/1998,919,Parris Glendening,13054,DEM,49,Ellen Sauerbrey,13053,REP,44,,5,11/3/1998,55.14,44.82,10.33,5.33,-5.33,1,-2.836662031113035,for The Washington Post
54324,87860,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,911,Parris Glendening,13054,DEM,42,Ellen Sauerbrey,13053,REP,55,,-13,11/3/1998,55.14,44.82,10.33,23.33,-23.33,0,17.18829626542102,
54306,87842,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,907,Scott Harshbarger,13052,DEM,36,A. Paul Cellucci,13051,REP,56,,-20,11/3/1998,47.38,50.81,-3.43,16.57,-16.57,1,12.63707294703407,
54307,87843,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,RKM Research and Communications Inc.,272,Live Phone,,10/20/1998,402,Scott Harshbarger,13052,DEM,41,A. Paul Cellucci,13051,REP,46,,-5,11/3/1998,47.38,50.81,-3.43,1.57,-1.57,1,-4.453569715365559,
54334,87870,1449,1998,1998_Gov-G_MI,MI,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1535,Geoffrey Fieger,13061,DEM,36,John Engler,13060,REP,51,,-15,11/3/1998,37.78,62.2,-24.43,9.43,9.43,1,3.343836592940324,
54359,87895,1454,1998,1998_Gov-G_NM,NM,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/20/1998,409,Martin Chavez,13072,DEM,43,Gary Johnson,13071,REP,47,,-4,11/3/1998,45.47,54.53,-9.06,5.06,5.06,1,-.6025408168881006,
54375,87911,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1792,Peter Vallone,13080,DEM,24,George Pataki,13083,REP,48,15,-24,11/3/1998,33.16,54.32,-21.15,2.85,-2.85,1,-5.604270359735221,
54392,87928,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1793,Lee Fisher,13085,DEM,39,Bob Taft,13086,REP,50,,-11,11/3/1998,44.69,50.05,-5.36,5.64,-5.64,1,.0368986904861225,
54406,87942,1459,1998,1998_Gov-G_PA,PA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1611,Ivan Itkin,13100,DEM,16,Thomas Ridge,13098,REP,64,12,-48,11/3/1998,31.03,57.42,-26.38,21.62,-21.62,1,12.70178080144108,
